iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
41114-PROJECT-00074442,1,07/08/2014 00:00,en,United Nations Development Programme,41114,Multilateral,Climate Information and Early Warning Systems,Strengthening climate information and early warning systems in Africa for climate resilient development and adaptation to climate change  Country: Sierra Leone,2,07/06/2013,31/12/2017,07/06/2013,,National Execution,2768,Government,Global Environment Fund Truste,10003,Multilateral,,,,National Execution,2768,Government,SL,Sierra Leone,,,,,,,,,4,110,10,C01,5,USD,,0,0,0,0,0,0,0
41114-PROJECT-00074076,1,07/08/2014 00:00,en,United Nations Development Programme,41114,Multilateral,Adaptive Capacity of Water Services to Climate Change, ,2,17/05/2013,31/12/2017,17/05/2013,,National Execution,2768,Government,Global Environment Fund Truste,10003,Multilateral,,,,National Execution,2768,Government,SL,Sierra Leone,,,,,,,,,4,110,10,C01,5,USD,,0,0,0,0,0,0,0
46002-P-SL-E00-003,1,29/06/2014 00:00,en,African Development Bank Group,46002,Multilateral,Rural Water Supply & Sanitation Project,"The objective of the proposed project is to: (i) increase sustainable access to safe water and basic sanitation in rural areas, and (ii) develop a comprehensive national framework for rural water supply and sanitation investments.  The project will benefit an estimated 66,000 rural Sierra Leoneans, and result in 9% increase in safe water coverage and at least 6% increase in improved sanitation coverage, besides a better managed sector and improved knowledge, attitudes & practices of the primary beneficiaries.",2,22/10/2013,31/12/2018,17/03/2014,,,,,Fragile States Facility,FSF,,,,,MINISTRY OF ENERGY AND WATER RESOURCES,,Government,SL,Sierra Leone,,,,,14030,Basic drinking water supply and basic sanitation,,OECD Development Assistance Committee,2,,,,,,,25130493.36,150085.04,0,0,0,0,0
AU-5-INK048-SL,1,01/10/2014 00:00,en,Australian Aid,AU-5,Government,Australian Development Awards - 2012 Intake,"Funding under this initiative supports the Australian Development Awards long-term scholarships and short-term fellowships and scholarships 2012 intake of awardees from across 36 developing countries. Development Awards provide opportunities for people to gain knowledge and skills to assist in the development of their home country and are linked directly to outcomes of bilateral partnerships and country strategies. This funding covers all costs, including tuition fees and stipends for awardees while studying in Australia. The total value of this multi-country initiative is $301.3 million over nine years, starting 2011-12.",2,01/07/2011,30/06/2020,01/07/2011,,,,,,,,,,,,,,SL,Sierra Leone,,,,,43081,Multisector education/training,,OECD Development Assistance Committee,,110,10,A02,,AUD,,0,0,425940,0,0,0,0
AU-5-INK573-SL,1,01/10/2014 00:00,en,Australian Aid,AU-5,Government,Australia Awards - 2013 Intake ,"Through the Australia Awards Scholarships Australia offers a range of study and professional development opportunities (including long-term awards) to promote sustainable development. The overarching goals of the Australia Awards Scholarships are to: achieve country and regional program development outcomes through strengthened individual and institutional skills and knowledge; support leadership; and support Australia's broader foreign policy agenda through long-term linkages and partnerships. They provide long and short term study and professional development opportunities to citizens from developing countries around the globe. The total value of this multi-country initiative is $347.6 million over 8 years, starting 2012-13.",2,01/07/2012,30/06/2020,01/07/2012,,,,,,,,,,,,,,SL,Sierra Leone,,,,,43081,Multisector education/training,,OECD Development Assistance Committee,,110,10,A02,,AUD,,0,0,321315,0,0,0,0
AU-5-INL062-SL,1,01/10/2014 00:00,en,Australian Aid,AU-5,Government,Australia Awards - 2014 Intake,"The Australia Awards are international scholarships and fellowships funded by the Australian Government offering the next generation of global leaders an opportunity to undertake study, research and professional development. The Awards strive to develop leadership potential and stimulate lasting change by empowering a global network of talented individuals through high-quality education experiences in Australia and overseas. Recipients return home with new ideas and knowledge, and the ability to make a significant contribution to their home countries as leaders in their field. Funding under this initiative supports the global delivery for the 2014 Intake and is valued at $393.2 million over 8 years, starting 2013-14.",2,01/07/2013,30/06/2021,01/07/2013,,,,,,,,,,,,,,SL,Sierra Leone,,,,,43081,Multisector education/training,,OECD Development Assistance Committee,,110,10,A02,,AUD,,0,0,73221,0,0,0,0
41127-FTS:218100,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Education of the population in 13 districts in Sierra Leone to Ebola (VN05 321.50 SLE 03/14) (through Botschaft Bamako),(Sierra Leone) Education of the population in 13 districts in Sierra Leone to Ebola (VN05 321.50 SLE 03/14) (through Botschaft Bamako),,11/10/2014,,,,,,,Germany,,,,,,Private (individuals & organisations),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,56814,0,0,0,0,0,0
41127-FTS:218871,1,08/10/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Emergency Response to the Ebola outbreak,(Sierra Leone) Emergency Response to the Ebola outbreak,,11/10/2014,,,,,,,Sweden,,,,,,OXFAM,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,349041,0,0,0,0,0,0
DE-1-201276237,1,25/09/2014 00:00,de,BMZ,DE-1,Government,"Erwachsenenbildung, Sensibilisierung und Verhandlungsführungstraining für traditionelle Landbesitzer",Basic Education/Negotiating skills for Land owners - a preventive measure against land grabbing,2,,,30/11/2012,,,,,DE,DE,Government,DE-1 BMZ,,,Evangelische Zentralstelle für Entwicklungshilfe e.V.,,,SL,Sierra Leone,,289,"South of Sahara, regional",,11230,Basic life skills for youth and adults,,OECD Development Assistance Committee,3,,,,,EUR,EUR,500000,399228,0,0,0,0,0
41127-FTS:218094,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) To save lives and alleviate suffering - Mitigating the spread of Ebola through community sensitisation and health and hygiene awareness (Concern erfs),(Sierra Leone) To save lives and alleviate suffering - Mitigating the spread of Ebola through community sensitisation and health and hygiene awareness (Concern erfs),,11/10/2014,,,,,,,Ireland,,,,,,Concern Worldwide,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,68027,0,0,0,0,0,0
41127-FTS:218873,1,08/10/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Secondment to WHO,(Sierra Leone) Secondment to WHO,,11/10/2014,,,,,,,Sweden,,,,,,Swedish Civil Contingencies Agency (MSB),,,SL,Sierra Leone,,,,,;72050,;Relief co-ordination; protection and support services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,118911,0,0,0,0,0,0
41127-FTS:217832,1,08/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,"(Sierra Leone) Deployment of essential supplies to Improve Care and Outcomes for patients with Ebola Virus Disease (EVD) in Sierra Leone
","(Sierra Leone) Deployment of essential supplies to Improve Care and Outcomes for patients with Ebola Virus Disease (EVD) in Sierra Leone
",,11/10/2014,,,,,,,"Korea, Republic of",,,,,,World Health Organization,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,50000,0,0,0,0,0
41127-FTS:218095,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) To save lives and alleviate suffering (World Vision erfs),(Sierra Leone) To save lives and alleviate suffering (World Vision erfs),,11/10/2014,,,,,,,Ireland,,,,,,World Vision International,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,54348,0,0,0,0,0,0
41127-FTS:218119,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Support to ebola response in West Africa (204838),(Sierra Leone) Support to ebola response in West Africa (204838),,11/10/2014,,,,,,,United Kingdom ,,,,,,International Rescue Committee,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,1658375,0,0,0,0,0,0
DE-1-201275528,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Sozio-ökonomische Reintegration von Kriegsversehrten und Behinderten (fortf.),Socio-economic Reintegration of War Victims and People with Disabilities in Sierra Leone,2,,,28/09/2012,,,,,DE,DE,Government,DE-1 BMZ,,,Evangelische Zentralstelle für Entwicklungshilfe e.V.,,,SL,Sierra Leone,,289,"South of Sahara, regional",,11330,Vocational training,,OECD Development Assistance Committee,3,,,,,EUR,EUR,300000,190000,0,0,0,0,0
41127-FTS:218266,1,23/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Ebola virus control (23833),(Sierra Leone) Ebola virus control (23833),,11/10/2014,,,,,,,Netherlands,,,,,,Netherlands Red Cross,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,187879,0,0,0,0,0,0
DE-1-200465716,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Aids-Bekämpfung - Social Marketing,,2,,,22/07/2004,,,,,DE,DE,Government,DE-1 BMZ,,,Kreditanstalt für Wiederaufbau (KfW),,,SL,Sierra Leone,,289,"South of Sahara, regional",,13040,STD control including HIV/AIDS,,OECD Development Assistance Committee,1,,,,,EUR,EUR,4000000,3925129,0,0,0,0,0
41127-FTS:218097,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) To fight the Ebola Epidemic in Sierra Leone (2760-00/2014),(Sierra Leone) To fight the Ebola Epidemic in Sierra Leone (2760-00/2014),,11/10/2014,,,,,,,Austria,,,,,,World Vision International,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,263505,0,0,0,0,0,0
DK-1-41491,1,02/08/2014 00:00,en,"Ministry of Foreign Affairs, Denmark",DK-1,Government,UNICEF:SIERRA LEONE 41491,,,,,,,,,,,,,"Ministry of Foreign Affairs, Denmark",DK-1,Government,,,,SL,Sierra Leone,100,,,,72010,Material relief assistance and services,100,OECD Development Assistance Committee,1,110,10,C01,,DKK,,0,0,0,0,0,0,0
41127-FTS:218822,1,08/10/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) 165-member Cuban health team,(Sierra Leone) 165-member Cuban health team,,11/10/2014,,,,,,,Cuba,,,,,,Bilateral (affected government),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,0,0,0,0,0,0
41127-FTS:217390,1,03/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,"(Sierra Leone) in kind - five supply kits to Sierra Leone in an attempt to bring the ebola epidemic under control. A single kit can keep 500 people served for three months.

","(Sierra Leone) in kind - five supply kits to Sierra Leone in an attempt to bring the ebola epidemic under control. A single kit can keep 500 people served for three months.

",,11/10/2014,,,,,,,Brazil,,,,,,Bilateral (affected government),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,0,0,0,0,0,0
GB-CHC-1109789-BM05Q,1,19/12/2013 00:00,en,Y Care International,GB-CHC-1109789,International NGO,Sierra Leone: Freetown: Reducting the risk of disasters in 2 slum communities,,2,,,,,,,,,,,,,,Sierra Leone YMCA,,,SL,Sierra Leone,,,,,,,,,,,,,,GBP,GBP,0,6552,0,0,0,0,0
41127-FTS:216868,1,18/08/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Emergency Humanitarian Anti-Ebola Medical Materials ,(Sierra Leone) Emergency Humanitarian Anti-Ebola Medical Materials ,,11/10/2014,,,,,,,China,,,,,,Bilateral (affected government),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,1620220,0,0,0,0,0
41127-FTS:218872,1,08/10/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Emergency Intervention to Manage Ebola Virus Disease (EVD) Cases in Sierra Leone and Liberia (ECHO/-WF/EDF/2014/02003),(Sierra Leone) Emergency Intervention to Manage Ebola Virus Disease (EVD) Cases in Sierra Leone and Liberia (ECHO/-WF/EDF/2014/02003),,11/10/2014,,,,,,,European Commission Humanitarian Aid Office,,,,,,International Medical Corps UK,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,1778907,0,0,0,0,0,0
41127-FTS:218442,1,26/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,"(Sierra Leone) Emergency Response to Ebola Outbreak in Kono and Kenema Districts, Sierra Leone","(Sierra Leone) Emergency Response to Ebola Outbreak in Kono and Kenema Districts, Sierra Leone",,11/10/2014,,,,,,,Ireland,,,,,,International Rescue Committee,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,131752,0,0,0,0,0,0
GB-CHC-285908-198227,1,11/02/2013 00:00,en,World Vision UK,GB-CHC-285908,International NGO,mHealth Sierra Leone,"The aim of this project is to improve maternal, newborn and child health (MNCH), through the development and deployment of mobile data capture solutions.",2,,,01/10/2011,,,,,DFID,,Government,World Vision UK,GB-CHC-285908,International NGO,World Vision Sierra Leone,,National NGO,SL,Sierra Leone,,,,,,,,,,,30,B01,,GBP,GBP,94223,78598,0,0,0,0,0
41127-FTS:218099,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Food aid and Ebola treatment / prevention in Sierra Leone (VN05 321.50 SLE 02/14),(Sierra Leone) Food aid and Ebola treatment / prevention in Sierra Leone (VN05 321.50 SLE 02/14),,11/10/2014,,,,,,,Germany,,,,,,Deutsche Welthungerhilfe e.V. (German Agro Action),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,260870,0,0,0,0,0,0
DE-1-200466284,1,25/09/2014 00:00,de,BMZ,DE-1,Government,KV - Armutsorientierte Wirtschaftsförderung zur Friedenskonsolidierung,"Financial contribution shall promote the reanimation of local economy circles. In the short run, especially unemployed young population shall take advantage and find employment.",2,,,13/12/2004,,,,,DE,DE,Government,DE-1 BMZ,,,Kreditanstalt für Wiederaufbau (KfW),,,SL,Sierra Leone,,289,"South of Sahara, regional",,73010,Reconstruction relief and rehabilitation,,OECD Development Assistance Committee,1,,,,,EUR,EUR,11000000,9292926,0,0,0,0,0
41127-FTS:218096,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone)To save lives and alleviate suffering - reducing the spread of Ebola and supporting survivors and dependents in Sierra Leone (Goal erfs),(Sierra Leone)To save lives and alleviate suffering - reducing the spread of Ebola and supporting survivors and dependents in Sierra Leone (Goal erfs),,11/10/2014,,,,,,,Ireland,,,,,,GOAL,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,108696,0,0,0,0,0,0
DK-1-40639,1,02/08/2014 00:00,en,"Ministry of Foreign Affairs, Denmark",DK-1,Government,UNICEF SIERRA LEONE 40639,,,,,,,,,,,,,"Ministry of Foreign Affairs, Denmark",DK-1,Government,,,,SL,Sierra Leone,100,,,,72010,Material relief assistance and services,100,OECD Development Assistance Committee,1,110,10,C01,,DKK,,0,0,0,0,0,0,0
41127-FTS:218201,1,22/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) To support the delivery of front-line medical services in Sierra Leone,(Sierra Leone) To support the delivery of front-line medical services in Sierra Leone,,11/10/2014,,,,,,,Australia,,,,,,Various Recipients (details not yet provided),,,SL,Sierra Leone,,,,,;72050,;Relief co-ordination; protection and support services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,1870907,0,0,0,0,0,0
41127-FTS:218118,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Provision of Ebola and disaster response expertise to support the ebola response in West Africa: surge support for DFID Sierra Leone and UNICEF (204838),(Sierra Leone) Provision of Ebola and disaster response expertise to support the ebola response in West Africa: surge support for DFID Sierra Leone and UNICEF (204838),,11/10/2014,,,,,,,United Kingdom ,,,,,,Various Recipients (details not yet provided),,,SL,Sierra Leone,,,,,;72050,;Relief co-ordination; protection and support services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,497512,0,0,0,0,0,0
DE-1-201122779,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Beschäftigungsförderung für Jugendliche,The employment and income situation for young people in rural areas has improved,2,,,05/12/2011,,,,,DE,DE,Government,DE-1 BMZ,,,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,,,SL,Sierra Leone,,289,"South of Sahara, regional",,16020,Employment policy and administrative management,,OECD Development Assistance Committee,1,,,,,EUR,EUR,12000000,6125106,0,0,0,0,0
DE-1-200922864,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Unterstützung der Zentralbank,,1,,,28/09/2009,,,,,DE,DE,Government,DE-1 BMZ,,,,,,SL,Sierra Leone,,289,"South of Sahara, regional",,24010,Financial policy and administrative management,,OECD Development Assistance Committee,1,,,,,EUR,!Mixed currency,0,0,0,0,0,0,0
46002-P-SL-AAG-002,1,27/06/2014 00:00,en,African Development Bank Group,46002,Multilateral,Addax Bioenergy Project,,2,01/12/2011,,,,,,,African Development Bank,46002,Multilateral,,,,,,,SL,Sierra Leone,,,,,32161,Agro-industries,,OECD Development Assistance Committee,2,,,,,,,22301516.5,0,0,0,0,0,0
DK-1-41865,1,02/08/2014 00:00,en,"Ministry of Foreign Affairs, Denmark",DK-1,Government,WFP/SIERRA LEONE 41865,,,,,,,,,,,,,"Ministry of Foreign Affairs, Denmark",DK-1,Government,,,,SL,Sierra Leone,100,,,,72040,Emergency food aid,100,OECD Development Assistance Committee,1,110,10,C01,,DKK,,0,0,0,0,0,0,0
DE-1-200967141,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Armutsorientierte Wirtschaftsförderung zur Friedenskonsolidierung II,"Amelioration of income and employment situation, especially for young people, through enhanced usage of economic infrastructure and improved capacities of those actors responsible for maintenance.",2,,,01/09/2009,,,,,DE,DE,Government,DE-1 BMZ,,,Kreditanstalt für Wiederaufbau (KfW),,,SL,Sierra Leone,,289,"South of Sahara, regional",,73010,Reconstruction relief and rehabilitation,,OECD Development Assistance Committee,1,,,,,EUR,EUR,24673747,0,0,0,0,0,0
41127-FTS:218103,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Support to stop and monitor the Ebola outbreak,(Sierra Leone) Support to stop and monitor the Ebola outbreak,,11/10/2014,,,,,,,Sweden,,,,,,International Rescue Committee,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,197740,0,0,0,0,0,0
41127-FTS:217578,1,15/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Awareness raising and knowledge building of general public on prevention and control of Ebola virus disease,(Sierra Leone) Awareness raising and knowledge building of general public on prevention and control of Ebola virus disease,,11/10/2014,,,,,,,Japan,,,,,,United Nations Children's Fund,,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,100000,0,0,0,0,0
DE-1-201267228,1,25/09/2014 00:00,de,BMZ,DE-1,Government,HIV/Aids-Prävention und Stärkung von Frauenrechten III (FGM-Bekämpfung),meilleure protection de la population sexuelle active de la transmission du SIDA en particulier les femmes sont mieux protégées des suites de la maladie et de la mutilation génitale féminine.,2,,,20/11/2012,,,,,DE,DE,Government,DE-1 BMZ,,,Kreditanstalt für Wiederaufbau (KfW),,,SL,Sierra Leone,,289,"South of Sahara, regional",,13030,Family planning,,OECD Development Assistance Committee,1,,,,,EUR,EUR,6000000,713508,0,0,0,0,0
DK-1-40207,1,02/08/2014 00:00,en,"Ministry of Foreign Affairs, Denmark",DK-1,Government,ADRA/SIERRA LEONE 40207,,,,,,,,,,,,,"Ministry of Foreign Affairs, Denmark",DK-1,Government,,,,SL,Sierra Leone,100,,,,72010,Material relief assistance and services,100,OECD Development Assistance Committee,1,110,10,C01,,DKK,,0,0,0,0,0,0,0
DE-1-201275247,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Berufsbildung und andere Unterstüztungen für Jugendliche in der Phase der Friedenskonsolidierung,Vocational training and other support measures for young people in phase of consolidation of peace,2,,,31/07/2012,,,,,DE,DE,Government,DE-1 BMZ,,,Evangelische Zentralstelle für Entwicklungshilfe e.V.,,,SL,Sierra Leone,,289,"South of Sahara, regional",,11330,Vocational training,,OECD Development Assistance Committee,3,,,,,EUR,EUR,450000,438000,0,0,0,0,0
41127-FTS:218197,1,22/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,"(Sierra Leone) Bilateral contribution: Emergency initiative implemented by NGOs’ and by the Hospital Spallanzani of Rome to assist population at risk to Ebola haemorrhagic fever through actions for the strengthening of social, health and nutrion services delivery (AID 10398)","(Sierra Leone) Bilateral contribution: Emergency initiative implemented by NGOs’ and by the Hospital Spallanzani of Rome to assist population at risk to Ebola haemorrhagic fever through actions for the strengthening of social, health and nutrion services delivery (AID 10398)",,11/10/2014,,,,,,,Italy,,,,,,Bilateral (affected government),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,1581028,0,0,0,0,0,0
41127-FTS:218070,1,18/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,"(Sierra Leone)  Contributions to the national Ebola response from from London Mining Company, Sierra Minerals Holdings/Vimetco, AMR Gold, Chamer of Mines, Blue Horizon (SL) Limited, Allotropes Diamond Company, Golden Saints Resrouces, SocFin Agricultural Company, Sierra Diamonds","(Sierra Leone)  Contributions to the national Ebola response from from London Mining Company, Sierra Minerals Holdings/Vimetco, AMR Gold, Chamer of Mines, Blue Horizon (SL) Limited, Allotropes Diamond Company, Golden Saints Resrouces, SocFin Agricultural Company, Sierra Diamonds",,11/10/2014,,,,,,,Private (individuals & organisations),,,,,,Bilateral (affected government),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,279643,0,0,0,0,0
DE-1-201374206,1,25/09/2014 00:00,de,BMZ,DE-1,Government,Zivilgesellschaftliche Radioarbeit für Demokrati und Menschenrechte,Radio work to stimulate civic participation in democracy and human rights,2,,,31/07/2013,,,,,DE,DE,Government,DE-1 BMZ,,,Evangelische Zentralstelle für Entwicklungshilfe e.V.,,,SL,Sierra Leone,,289,"South of Sahara, regional",,22030,Radio/television/print media,,OECD Development Assistance Committee,3,,,,,EUR,EUR,175000,147000,0,0,0,0,0
41127-FTS:217593,1,15/09/2014 00:00,en,UNOCHA-FTS,41127-FTS,Multilateral,(Sierra Leone) Support the response to Ebola Virus Disease outbreak in West Africa (204838),(Sierra Leone) Support the response to Ebola Virus Disease outbreak in West Africa (204838),,11/10/2014,,,,,,,United Kingdom ,,,,,,Various Recipients (details not yet provided),,,SL,Sierra Leone,,,,,;72010,;Material relief assistance and services,;,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;OECD Development Assistance Committee,,,,,,USD,,0,0,0,0,0,0,0
GB-1-204838-103,2,22/08/2014 00:00,en,Department for International Development,GB-1,Government,Ebola response in Sierra Leone and Liberia delivered by the Red Cross,,2,15/07/2014,14/07/2014,15/07/2014,14/07/2014,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,International Federation of Red Cross and Red Crescent Societies,21018,,SL,Sierra Leone,,,,,72050,Relief co-ordination; protection and support services,,OECD Development Assistance Committee,3,110,10,C01,5,GBP,!Mixed currency,1000000,1000000,0,0,0,0,0
GB-1-200485-101,2,30/08/2014 00:00,en,Department for International Development,GB-1,Government,Procurement of Services,,4,01/02/2006,31/08/2014,01/02/2006,31/08/2014,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Other.,52000,,SL,Sierra Leone,,,,,;16062,;Statistical capacity building,30;70,OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,5,GBP,!Mixed currency,90533,0,90528,0,0,0,0
SE-0-SE-6-5403039202-SLE-13040,2,29/06/2014 00:00,en,Sweden,SE-0,Government,Ramanslag LO-TCOS Biståndsnämnd 2013 Sydanslag,"LO-TCO Biståndsnämnd är ett paraplyorgan med syfte att distribuera CSO-medel till den fackliga rörelsen. Medlen kanaliseras vida Svenska fackförbund och deras internationaler (GUF) till fackförbund och -föreningar i ett 60-tal länder i syd. Verksamheten är uppdelad i tre program (Lärarfröbundet, Bygg, Offentliganställdas Frb) samt fem strategiområden som förmedlas via många olika förbund.",2,,,01/01/2013,28/09/2014,LO/TCOs Biståndsnämnd,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,SL,Sierra Leone,100,,,,13040,STD control including HIV/AIDS,100,OECD Development Assistance Committee,1,110,10,H01,4,USD,,0,0,0,0,0,0,0
